,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Strezhevoy,60.7333,77.5889,46.38,92,100,9.84,RU,2021-09-10 21:28:09
1,Kloulklubed,7.0419,134.2556,79.3,74,100,15.48,PW,2021-09-10 21:24:12
2,Xiaoshi,41.2971,124.1209,60.82,99,51,5.32,CN,2021-09-10 21:28:09
3,Oranjestad,12.524,-70.027,87.75,70,20,24.16,AW,2021-09-10 21:23:37
4,San Patricio,28.017,-97.5169,96.89,43,2,18.59,US,2021-09-10 21:28:10
5,Nemuro,43.3236,145.575,62.08,81,99,5.95,JP,2021-09-10 21:28:10
6,Hilo,19.7297,-155.09,83.28,67,90,5.75,US,2021-09-10 21:28:11
7,Lompoc,34.6391,-120.4579,90.21,70,1,14.97,US,2021-09-10 21:23:22
8,Albany,42.6001,-73.9662,70.84,48,5,1.01,US,2021-09-10 21:28:11
9,Busselton,-33.65,115.3333,47.08,88,18,10.89,AU,2021-09-10 21:28:11
10,New Norfolk,-42.7826,147.0587,48.76,66,81,1.01,AU,2021-09-10 21:28:12
11,Laguna,38.421,-121.4238,91.45,43,1,3.0,US,2021-09-10 21:28:12
12,Port Elizabeth,-33.918,25.5701,62.89,72,40,11.5,ZA,2021-09-10 21:28:12
13,Bredasdorp,-34.5322,20.0403,56.28,94,99,4.61,ZA,2021-09-10 21:28:13
14,Atuona,-9.8,-139.0333,78.1,74,18,18.57,PF,2021-09-10 21:28:13
15,Mar del Plata,-38.0023,-57.5575,51.82,100,90,9.22,AR,2021-09-10 21:23:50
16,Östersund,63.1792,14.6357,54.05,100,75,6.91,SE,2021-09-10 21:28:13
17,Jamestown,42.097,-79.2353,71.02,54,1,5.99,US,2021-09-10 21:28:14
18,Vostok,46.4856,135.8833,50.22,94,100,2.62,RU,2021-09-10 21:28:14
19,Kapaa,22.0752,-159.319,82.72,71,75,1.99,US,2021-09-10 21:28:14
20,Punta Arenas,-53.15,-70.9167,46.51,49,0,26.46,CL,2021-09-10 21:28:14
21,Vilhena,-12.7406,-60.1458,88.02,42,20,2.3,BR,2021-09-10 21:28:15
22,Torbay,47.6666,-52.7314,69.28,96,90,25.32,CA,2021-09-10 21:28:15
23,Ushuaia,-54.8,-68.3,38.86,87,40,3.44,AR,2021-09-10 21:26:57
24,Hermanus,-34.4187,19.2345,56.8,84,29,3.85,ZA,2021-09-10 21:28:15
25,Rikitea,-23.1203,-134.9692,73.29,79,36,11.65,PF,2021-09-10 21:28:16
26,Clyde River,70.4692,-68.5914,34.2,65,38,5.44,CA,2021-09-10 21:28:16
27,Dikson,73.5069,80.5464,40.3,97,100,9.84,RU,2021-09-10 21:28:16
28,Haines Junction,60.7522,-137.5108,55.35,58,91,2.3,CA,2021-09-10 21:28:17
29,Chui,-33.6971,-53.4616,58.5,88,74,11.01,UY,2021-09-10 21:28:17
30,Lebu,-37.6167,-73.65,54.19,83,100,2.71,CL,2021-09-10 21:28:17
31,Hobart,-42.8794,147.3294,49.12,81,40,1.99,AU,2021-09-10 21:27:36
32,Nikolskoye,59.7035,30.7861,48.02,80,64,4.59,RU,2021-09-10 21:28:18
33,Bambous Virieux,-20.3428,57.7575,70.05,88,40,6.91,MU,2021-09-10 21:28:18
34,Taoudenni,22.6783,-3.9836,101.91,7,0,10.31,ML,2021-09-10 21:28:18
35,Tampico,22.2167,-97.85,89.78,51,20,2.3,MX,2021-09-10 21:28:19
36,Cape Town,-33.9258,18.4232,56.88,82,0,4.0,ZA,2021-09-10 21:27:18
37,Morgan City,29.6994,-91.2068,87.01,39,1,10.36,US,2021-09-10 21:28:19
38,Sur,22.5667,59.5289,87.31,63,90,6.08,OM,2021-09-10 21:28:19
39,Lavrentiya,65.5833,-171.0,45.12,92,100,11.65,RU,2021-09-10 21:28:09
40,Tekeli,44.83,78.8239,43.83,48,0,8.97,KZ,2021-09-10 21:28:20
41,Acapulco de Juárez,16.8634,-99.8901,85.82,74,75,9.22,MX,2021-09-10 21:28:20
42,Sunndalsøra,62.6754,8.5515,53.65,99,100,0.31,NO,2021-09-10 21:28:20
43,Caravelas,-17.7125,-39.2481,75.34,78,11,9.22,BR,2021-09-10 21:28:21
44,Castro,-24.7911,-50.0119,64.36,40,5,3.2,BR,2021-09-10 21:28:21
45,Mataura,-46.1927,168.8643,43.48,95,84,5.26,NZ,2021-09-10 21:28:21
46,Atlantic City,39.3643,-74.4229,77.31,45,1,13.8,US,2021-09-10 21:28:22
47,Avarua,-21.2078,-159.775,78.85,73,49,10.36,CK,2021-09-10 21:28:22
48,Saint Paul Harbor,57.79,-152.4072,60.31,63,1,19.57,US,2021-09-10 21:28:22
49,Tautira,-17.7333,-149.15,80.62,61,26,9.28,PF,2021-09-10 21:28:22
50,Vaini,-21.2,-175.2,75.36,83,75,9.22,TO,2021-09-10 21:28:23
51,Isla Mujeres,21.2311,-86.731,82.45,85,100,13.38,MX,2021-09-10 21:28:23
52,Sistranda,63.7256,8.834,53.91,84,99,11.65,NO,2021-09-10 21:28:23
53,Tuktoyaktuk,69.4541,-133.0374,53.6,62,20,21.85,CA,2021-09-10 21:28:24
54,St Albans,51.75,-0.3333,63.97,95,75,6.91,GB,2021-09-10 21:28:24
55,Tual,-5.6667,132.75,80.08,84,100,18.37,ID,2021-09-10 21:28:24
56,Chokurdakh,70.6333,147.9167,30.99,74,45,5.73,RU,2021-09-10 21:28:24
57,Adiaké,5.2863,-3.304,78.39,86,98,4.92,CI,2021-09-10 21:28:25
58,Port Hedland,-20.3167,118.5667,60.85,77,0,9.22,AU,2021-09-10 21:28:25
59,Ribeira Grande,38.5167,-28.7,70.65,74,29,20.69,PT,2021-09-10 21:28:26
60,Hong Kong,22.2855,114.1577,86.05,83,21,4.94,HK,2021-09-10 21:27:39
61,Matara,5.9485,80.5353,77.58,90,100,9.55,LK,2021-09-10 21:28:26
62,Sebezh,56.2955,28.4654,56.77,86,15,3.96,RU,2021-09-10 21:28:26
63,Tasiilaq,65.6145,-37.6368,37.56,50,8,6.15,GL,2021-09-10 21:28:26
64,Pryazha,61.6926,33.6216,40.23,80,87,3.69,RU,2021-09-10 21:28:27
65,Airai,-8.9266,125.4092,57.92,68,21,3.04,TL,2021-09-10 21:28:27
66,Predivinsk,57.0669,93.4378,39.76,96,34,4.12,RU,2021-09-10 21:28:27
67,Qaanaaq,77.484,-69.3632,20.21,69,62,5.95,GL,2021-09-10 21:28:28
68,Malakal,9.5334,31.6605,71.53,94,11,3.44,SS,2021-09-10 21:28:28
69,Atambua,-9.1061,124.8925,70.03,80,10,4.61,ID,2021-09-10 21:28:28
70,Pathein,16.7833,94.7333,76.23,94,100,9.62,MM,2021-09-10 21:28:29
71,Young,-32.6833,-57.6333,56.23,84,85,6.46,UY,2021-09-10 21:28:29
72,Zhigansk,66.7697,123.3711,40.14,62,38,7.85,RU,2021-09-10 21:28:29
73,Umeå,63.8284,20.2597,48.13,100,90,0.0,SE,2021-09-10 21:25:18
74,Pahrump,36.2083,-115.9839,102.25,17,17,7.0,US,2021-09-10 21:28:30
75,Mayo,38.8876,-76.5119,78.17,51,75,8.99,US,2021-09-10 21:28:30
76,Aksay,47.26,39.87,61.72,35,0,4.59,RU,2021-09-10 21:28:30
77,Tilichiki,60.4667,166.1,36.16,62,98,19.95,RU,2021-09-10 21:28:31
78,Saint-Augustin,51.226,-58.6502,63.57,98,100,13.2,CA,2021-09-10 21:28:31
79,Shache,38.4167,77.2406,74.71,19,74,12.82,CN,2021-09-10 21:28:31
80,George Town,5.4112,100.3354,80.89,86,20,2.3,MY,2021-09-10 21:23:40
81,Richmond,37.5538,-77.4603,78.06,50,40,5.01,US,2021-09-10 21:26:04
82,Saint George,37.1041,-113.5841,100.99,18,1,4.0,US,2021-09-10 21:28:32
83,Aklavik,68.2191,-135.0107,56.23,62,75,11.5,CA,2021-09-10 21:28:32
84,Vila Praia de Âncora,41.811,-8.8526,66.11,86,8,3.83,PT,2021-09-10 21:28:32
85,Souillac,-20.5167,57.5167,70.18,88,40,6.91,MU,2021-09-10 21:28:33
86,Vol'sk,52.0333,47.3833,56.73,85,76,8.12,RU,2021-09-10 21:28:33
87,Hithadhoo,-0.6,73.0833,82.94,70,50,6.13,MV,2021-09-10 21:28:33
88,Lorengau,-2.0226,147.2712,82.0,76,85,10.8,PG,2021-09-10 21:28:34
89,Yellowknife,62.456,-114.3525,52.32,58,20,3.44,CA,2021-09-10 21:25:29
90,Jijiga,9.35,42.8,62.82,86,86,8.25,ET,2021-09-10 21:28:34
91,Grand-Santi,4.25,-54.3833,85.23,56,79,2.73,GF,2021-09-10 21:28:34
92,Panzhihua,26.5851,101.7128,66.7,94,81,1.05,CN,2021-09-10 21:28:34
93,Bowen,-20.0167,148.2333,66.42,81,54,12.01,AU,2021-09-10 21:28:35
94,Quatre Cocos,-20.2078,57.7625,69.91,76,3,11.95,MU,2021-09-10 21:28:35
95,Tiksi,71.6872,128.8694,44.08,73,84,8.75,RU,2021-09-10 21:28:35
96,Port Alfred,-33.5906,26.891,67.21,70,32,9.73,ZA,2021-09-10 21:28:36
97,Kyabé,9.4515,18.9449,71.51,96,46,4.23,TD,2021-09-10 21:28:36
98,Longyearbyen,78.2186,15.6401,37.24,75,20,9.22,SJ,2021-09-10 21:28:36
99,Pangody,65.85,74.4859,38.07,71,72,0.76,RU,2021-09-10 21:28:37
100,Labuhan,-6.8844,112.2051,77.49,82,92,10.02,ID,2021-09-10 21:28:37
101,Barrow,71.2906,-156.7887,35.62,93,90,14.97,US,2021-09-10 21:28:37
102,Mata,40.683,-7.4592,61.93,80,42,5.03,PT,2021-09-10 21:28:37
103,Saskylakh,71.9167,114.0833,52.88,67,46,7.78,RU,2021-09-10 21:28:38
104,Carnarvon,-24.8667,113.6333,59.07,77,22,12.66,AU,2021-09-10 21:28:38
105,Araouane,18.9048,-3.5265,100.18,22,5,2.24,ML,2021-09-10 21:28:38
106,Cerritos,33.8583,-118.0648,104.65,48,20,5.01,US,2021-09-10 21:26:35
107,Port Hardy,50.6996,-127.4199,53.78,94,75,3.44,CA,2021-09-10 21:28:39
108,Bilecik Province,40.0,30.1667,56.05,86,67,5.95,TR,2021-09-10 21:28:39
109,Caucaia,-3.7361,-38.6531,80.55,76,0,8.05,BR,2021-09-10 21:28:39
110,Takoradze,4.8845,-1.7554,77.2,85,97,6.04,GH,2021-09-10 21:28:40
111,Hofn,64.2539,-15.2082,53.37,65,53,4.18,IS,2021-09-10 21:28:40
112,Safford,32.834,-109.7076,99.07,17,1,3.44,US,2021-09-10 21:28:40
113,Havre-St-Pierre,50.2334,-63.5986,61.16,94,90,8.05,CA,2021-09-10 21:28:41
114,Norman Wells,65.282,-126.8329,59.04,58,40,19.57,CA,2021-09-10 21:28:41
115,San Quintín,30.4833,-115.95,78.64,68,1,13.89,MX,2021-09-10 21:28:41
116,Cedar City,37.6775,-113.0619,87.4,19,1,21.85,US,2021-09-10 21:28:41
117,Kiunga,-6.1219,141.2906,73.78,100,99,0.72,PG,2021-09-10 21:28:42
118,Jiuquan,39.7432,98.5174,65.23,20,0,3.58,CN,2021-09-10 21:28:42
119,Portobelo,9.55,-79.65,84.61,81,100,4.94,PA,2021-09-10 21:28:42
120,Zigong,29.3416,104.7769,72.63,84,71,0.87,CN,2021-09-10 21:28:43
121,Puerto Ayora,-0.7393,-90.3518,75.16,86,89,8.99,EC,2021-09-10 21:28:43
122,Mount Isa,-20.7333,139.5,51.57,71,0,3.44,AU,2021-09-10 21:28:43
123,Ngunguru,-35.6167,174.5,57.16,64,1,16.87,NZ,2021-09-10 21:28:43
124,Avera,33.194,-82.5271,86.68,24,0,5.26,US,2021-09-10 21:28:44
125,Bethel,41.3712,-73.414,73.76,54,20,1.99,US,2021-09-10 21:28:44
126,Kainantu,-6.2887,145.8655,60.08,96,100,1.61,PG,2021-09-10 21:28:44
127,Provideniya,64.3833,-173.3,41.77,97,100,3.98,RU,2021-09-10 21:28:45
128,Nhulunbuy,-12.2333,136.7667,75.81,83,40,8.05,AU,2021-09-10 21:28:45
129,Riyadh,24.6877,46.7219,84.34,11,12,9.31,SA,2021-09-10 21:24:16
130,Cabo San Lucas,22.8909,-109.9124,87.51,76,75,1.01,MX,2021-09-10 21:25:08
131,Swan Hill,-35.3378,143.5544,56.17,24,0,11.99,AU,2021-09-10 21:28:45
132,Arman',59.7,150.1667,42.96,45,100,7.36,RU,2021-09-10 21:28:46
133,Bubaque,11.2833,-15.8333,78.91,81,99,9.64,GW,2021-09-10 21:28:46
134,Nanortalik,60.1432,-45.2371,45.03,86,100,6.06,GL,2021-09-10 21:28:46
135,Lae,-6.7221,146.9847,74.07,90,100,4.94,PG,2021-09-10 21:28:47
136,Balakhta,55.38,91.6,42.49,81,95,4.45,RU,2021-09-10 21:28:47
137,Linqiong,30.4159,103.4609,71.42,82,72,1.77,CN,2021-09-10 21:28:47
138,Klaksvík,62.2266,-6.589,50.92,74,38,7.78,FO,2021-09-10 21:28:48
139,Palmer,42.1584,-72.3287,72.64,54,15,4.0,US,2021-09-10 21:28:48
140,Arraial do Cabo,-22.9661,-42.0278,75.16,94,75,5.75,BR,2021-09-10 21:28:48
141,Broome,42.2506,-75.833,69.53,60,29,3.0,US,2021-09-10 21:28:48
142,Tsabong,-26.0217,22.401,70.14,32,0,18.68,BW,2021-09-10 21:28:49
143,Codrington,-38.2667,141.9667,60.31,45,90,16.44,AU,2021-09-10 21:28:49
144,Kavieng,-2.5744,150.7967,82.72,75,62,15.77,PG,2021-09-10 21:28:49
145,Arlit,18.7369,7.3853,99.91,12,99,13.82,NE,2021-09-10 21:28:50
146,Fairbanks,64.8378,-147.7164,62.24,59,75,0.0,US,2021-09-10 21:28:50
147,Pinillos,8.9193,-74.4677,92.66,57,100,1.86,CO,2021-09-10 21:28:50
148,Northam,51.0333,-4.2167,64.38,95,94,12.77,GB,2021-09-10 21:28:51
149,Al Bardīyah,31.7561,25.0865,75.92,64,0,9.75,LY,2021-09-10 21:28:51
150,Saldanha,-33.0117,17.9442,48.25,93,36,7.29,ZA,2021-09-10 21:28:51
151,Tuatapere,-46.1333,167.6833,43.83,91,78,5.86,NZ,2021-09-10 21:28:51
152,Forbes,-33.3833,148.0167,49.03,69,0,9.4,AU,2021-09-10 21:28:52
153,East London,-33.0153,27.9116,74.59,52,100,11.7,ZA,2021-09-10 21:28:52
154,Carbonia,39.1672,8.5222,70.45,92,77,3.56,IT,2021-09-10 21:28:52
155,Narsaq,60.9167,-46.05,44.82,87,100,6.15,GL,2021-09-10 21:28:53
156,Henties Bay,-22.116,14.2845,55.85,72,0,4.56,NA,2021-09-10 21:28:53
157,Alice Springs,-23.7,133.8833,47.75,46,3,2.3,AU,2021-09-10 21:28:53
158,Almaznyy,48.0448,40.045,57.34,40,0,1.77,RU,2021-09-10 21:28:54
159,Trat,12.5,102.5,74.23,99,100,1.48,TH,2021-09-10 21:28:54
160,San Luis de Gaceno,4.8205,-73.1685,81.55,82,39,1.88,CO,2021-09-10 21:28:54
161,São Filipe,14.8961,-24.4956,77.86,83,100,9.8,CV,2021-09-10 21:28:54
162,Romitan,39.9343,64.3814,58.95,25,0,9.22,UZ,2021-09-10 21:28:55
163,Alihe,50.5667,123.7167,44.89,95,99,2.95,CN,2021-09-10 21:28:55
164,Coihueco,-36.6167,-71.8333,63.34,59,0,3.44,CL,2021-09-10 21:28:55
165,Severo-Kuril'sk,50.6789,156.125,48.65,58,40,20.69,RU,2021-09-10 21:28:56
166,Kailua,21.4022,-157.7394,85.06,65,20,11.5,US,2021-09-10 21:28:56
167,Sola,-13.8833,167.55,77.77,80,65,20.78,VU,2021-09-10 21:28:56
168,Ilām,26.9167,87.9167,68.56,78,7,6.71,NP,2021-09-10 21:28:57
169,Saint Anthony,45.0205,-93.218,83.93,48,1,4.0,US,2021-09-10 21:28:57
170,Bereket,39.2446,55.5154,71.13,23,1,10.87,TM,2021-09-10 21:28:57
171,Manadhoo,5.7667,73.3833,81.79,74,36,7.31,MV,2021-09-10 21:28:58
172,Mishan,45.55,131.8833,53.76,75,78,1.97,CN,2021-09-10 21:28:58
173,Coquimbo,-29.9533,-71.3436,58.73,72,20,9.22,CL,2021-09-10 21:26:16
174,Naze,28.3667,129.4833,79.92,85,14,10.29,JP,2021-09-10 21:28:58
175,Saint-Philippe,-21.3585,55.7679,67.55,79,41,8.84,RE,2021-09-10 21:28:59
176,Cidreira,-30.1811,-50.2056,62.92,71,76,13.8,BR,2021-09-10 21:28:59
177,Christchurch,-43.5333,172.6333,49.48,71,14,2.3,NZ,2021-09-10 21:28:59
178,Pizarro,4.9533,-77.366,79.38,87,98,9.13,CO,2021-09-10 21:28:59
179,Iqaluit,63.7506,-68.5145,37.13,70,90,3.44,CA,2021-09-10 21:29:00
180,Lagoa,39.05,-27.9833,69.71,72,8,19.98,PT,2021-09-10 21:29:00
181,Nicoya,10.1483,-85.452,81.95,85,100,6.2,CR,2021-09-10 21:29:00
182,Mount Gambier,-37.8333,140.7667,58.91,82,90,16.11,AU,2021-09-10 21:29:01
183,Leningradskiy,69.3833,178.4167,29.86,95,100,4.14,RU,2021-09-10 21:29:01
184,Pevek,69.7008,170.3133,31.01,74,80,11.27,RU,2021-09-10 21:29:01
185,Lakes Entrance,-37.8811,147.981,68.16,45,51,10.33,AU,2021-09-10 21:29:02
186,Dosso,13.049,3.1937,82.42,70,81,9.15,NE,2021-09-10 21:29:02
187,Puno,-15.8333,-70.0333,57.67,32,21,10.27,PE,2021-09-10 21:29:02
188,Ossora,59.2353,163.0719,41.36,59,100,16.6,RU,2021-09-10 21:29:03
189,Atar,20.5169,-13.0499,97.9,29,81,16.73,MR,2021-09-10 21:29:03
190,Bereda,43.2686,-7.5406,62.42,100,37,2.28,ES,2021-09-10 21:29:03
191,Bengkulu,-3.8004,102.2655,75.34,86,100,4.59,ID,2021-09-10 21:29:04
192,Paraná,-31.732,-60.5238,70.3,54,4,2.48,AR,2021-09-10 21:29:04
193,Umluj,25.0213,37.2685,85.41,69,50,9.86,SA,2021-09-10 21:29:04
194,Bluff,-46.6,168.3333,43.81,68,52,12.91,NZ,2021-09-10 21:29:05
195,Vestby,59.6024,10.7467,62.6,71,100,1.01,NO,2021-09-10 21:29:05
196,Vestmannaeyjar,63.4427,-20.2734,52.65,86,100,12.48,IS,2021-09-10 21:29:05
197,Fare,-16.7,-151.0167,76.48,64,55,11.16,PF,2021-09-10 21:29:05
198,Rio Grande,-32.035,-52.0986,62.71,82,100,14.9,BR,2021-09-10 21:29:06
199,Cartagena del Chairá,1.3349,-74.8429,79.45,84,95,3.56,CO,2021-09-10 21:29:06
200,Sechura,-5.5569,-80.8222,72.66,66,17,15.3,PE,2021-09-10 21:29:06
201,Shanghai,31.2222,121.4581,78.87,98,0,2.24,CN,2021-09-10 21:29:07
202,Kaitangata,-46.2817,169.8464,44.62,86,76,9.17,NZ,2021-09-10 21:29:07
203,Kungurtug,50.5994,97.5228,39.24,94,94,0.45,RU,2021-09-10 21:27:30
204,Kibakwe,-6.7167,36.3667,60.8,74,16,4.74,TZ,2021-09-10 21:29:08
205,Pimentel,-6.8367,-79.9342,70.09,64,0,16.11,PE,2021-09-10 21:29:08
206,Bojnourd,37.4747,57.329,64.35,77,0,6.91,IR,2021-09-10 21:29:08
207,Sitka,57.0531,-135.33,57.09,72,90,16.11,US,2021-09-10 21:20:51
208,Bulgan,48.8125,103.5347,48.31,96,100,3.91,MN,2021-09-10 21:29:09
209,Ulaangom,49.9811,92.0667,49.06,59,26,4.81,MN,2021-09-10 21:29:09
210,Camopi,3.1655,-52.3158,84.02,55,72,5.32,GF,2021-09-10 21:29:09
211,Tokur,53.1333,132.9,44.92,97,100,4.14,RU,2021-09-10 21:29:09
212,Isangel,-19.55,169.2667,71.69,62,42,13.04,VU,2021-09-10 21:29:10
213,Mahébourg,-20.4081,57.7,70.09,88,40,6.91,MU,2021-09-10 21:29:10
214,Senador José Porfírio,-2.5908,-51.9542,87.22,55,66,2.35,BR,2021-09-10 21:29:10
215,Morondava,-20.2833,44.2833,77.02,54,0,17.11,MG,2021-09-10 21:29:11
216,Butaritari,3.0707,172.7902,83.7,73,29,14.74,KI,2021-09-10 21:29:11
217,Necochea,-38.5473,-58.7368,51.04,87,61,6.08,AR,2021-09-10 21:24:51
218,Khatanga,71.9667,102.5,50.25,68,33,10.29,RU,2021-09-10 21:29:11
219,Badarpur,24.9,92.6,76.23,97,97,2.37,IN,2021-09-10 21:29:12
220,Lüderitz,-26.6481,15.1594,56.77,74,3,7.45,NA,2021-09-10 21:29:12
221,Kenai,60.5544,-151.2583,59.02,79,90,5.75,US,2021-09-10 21:29:12
222,Kawalu,-7.3817,108.2082,70.32,97,82,0.81,ID,2021-09-10 21:29:12
223,Berlevåg,70.8578,29.0864,42.75,81,75,11.5,NO,2021-09-10 21:29:13
224,Bima,-8.4667,118.7167,75.07,94,78,4.07,ID,2021-09-10 21:29:13
225,Okato,-39.2,173.8833,52.43,80,39,18.63,NZ,2021-09-10 21:29:13
226,Biak,-0.9131,122.8766,74.97,87,96,4.65,ID,2021-09-10 21:29:14
227,Stepnogorsk,52.3544,71.8869,49.15,88,94,10.74,KZ,2021-09-10 21:29:14
228,Arnoldstein,46.5461,13.71,60.3,77,11,3.02,AT,2021-09-10 21:29:14
229,Chumikan,54.7183,135.315,52.66,84,100,12.5,RU,2021-09-10 21:29:14
230,North Bend,43.4065,-124.2243,70.95,59,20,12.66,US,2021-09-10 21:29:15
231,Alta Floresta,-9.8756,-56.0861,89.42,55,20,2.3,BR,2021-09-10 21:29:15
232,Fort Nelson,58.8053,-122.7002,65.79,48,75,12.66,CA,2021-09-10 21:29:16
233,Kānodar,24.1,72.3833,76.17,94,100,3.22,IN,2021-09-10 21:29:16
234,Ilulissat,69.2167,-51.1,30.22,51,0,6.91,GL,2021-09-10 21:29:16
235,Ostrovnoy,68.0531,39.5131,42.48,89,100,19.06,RU,2021-09-10 21:29:16
236,Rome,43.2128,-75.4557,69.94,59,90,1.01,US,2021-09-10 21:29:15
237,Yagodnoye,62.55,149.6667,31.84,89,95,5.61,RU,2021-09-10 21:29:17
238,Tabas,33.5959,56.9244,77.95,17,0,2.26,IR,2021-09-10 21:29:17
239,Vrangel',42.7297,133.0839,65.57,87,92,4.36,RU,2021-09-10 21:29:17
240,Los Llanos de Aridane,28.6585,-17.9182,71.35,83,0,2.3,ES,2021-09-10 21:29:18
241,Samarai,-10.6167,150.6667,78.78,87,100,17.52,PG,2021-09-10 21:29:18
242,Orchard Homes,46.8633,-114.0484,78.94,31,1,6.91,US,2021-09-10 21:28:34
243,Hamilton,39.1834,-84.5333,80.76,44,75,1.01,US,2021-09-10 21:29:18
244,Bhisho,-32.8472,27.4422,77.47,28,92,10.0,ZA,2021-09-10 21:29:19
245,Dharān,26.8125,87.2835,77.04,75,11,7.29,NP,2021-09-10 21:29:19
246,Cherskiy,68.75,161.3,32.32,70,25,11.12,RU,2021-09-10 21:29:19
247,Show Low,34.2542,-110.0298,87.51,23,1,14.97,US,2021-09-10 21:29:20
248,Chālūs,36.655,51.4204,71.06,83,75,0.0,IR,2021-09-10 21:29:20
249,Sangar,63.9242,127.4739,41.29,63,100,1.86,RU,2021-09-10 21:29:21
250,Asău,46.4333,26.4,56.75,44,98,3.56,RO,2021-09-10 21:29:21
251,Shimoda,34.6667,138.95,74.73,75,75,2.57,JP,2021-09-10 21:29:21
252,São João da Barra,-21.6403,-41.0511,75.29,83,7,20.47,BR,2021-09-10 21:29:22
253,Luorong,24.4058,109.6086,78.84,84,26,2.01,CN,2021-09-10 21:29:22
254,Tari,12.4086,4.4914,82.42,69,99,6.26,NG,2021-09-10 21:29:22
255,Nuuk,64.1835,-51.7216,45.21,57,54,6.91,GL,2021-09-10 21:29:23
256,Kudahuvadhoo,2.6708,72.8944,82.89,70,51,5.01,MV,2021-09-10 21:29:23
257,Progreso,21.2833,-89.6667,79.11,89,100,14.56,MX,2021-09-10 21:29:23
258,Ambon City,-3.6954,128.1814,75.34,100,40,3.44,ID,2021-09-10 21:29:23
259,Katiuzhanka,50.806,30.1376,53.82,54,82,0.49,UA,2021-09-10 21:29:24
260,Sambava,-14.2667,50.1667,69.46,84,44,13.09,MG,2021-09-10 21:29:24
261,Camacupa,-12.0167,17.4833,70.18,23,21,6.62,AO,2021-09-10 21:29:24
262,Dukat,62.55,155.55,25.74,84,100,6.71,RU,2021-09-10 21:29:25
263,Katy,29.7858,-95.8244,94.12,37,0,1.01,US,2021-09-10 21:15:28
264,Ust-Kuyga,70.0167,135.6,39.09,58,57,7.14,RU,2021-09-10 21:29:25
265,Luwuk,-0.9516,122.7875,76.08,87,97,3.67,ID,2021-09-10 21:29:25
266,Gualaquiza,-3.4,-78.55,71.65,86,92,1.39,EC,2021-09-10 21:29:26
267,Arkhangelsk,64.5401,40.5433,35.71,93,40,0.0,RU,2021-09-10 21:29:26
268,Dunedin,-45.8742,170.5036,46.8,67,41,14.0,NZ,2021-09-10 21:29:26
269,Salaga,8.5508,-0.5188,76.1,90,100,3.24,GH,2021-09-10 21:29:27
270,Vao,-22.6667,167.4833,66.99,63,100,13.85,NC,2021-09-10 21:29:27
271,Birjand,32.8663,59.2211,64.87,20,0,13.8,IR,2021-09-10 21:29:27
272,Grindavik,63.8424,-22.4338,49.95,100,75,9.22,IS,2021-09-10 21:29:28
273,Zabid,14.1951,43.3152,92.05,59,90,9.4,YE,2021-09-10 21:29:28
274,Homer,59.6425,-151.5483,59.07,90,40,4.61,US,2021-09-10 21:29:28
275,Yaan,7.3833,8.5667,73.09,97,99,4.7,NG,2021-09-10 21:29:28
276,Abbeville,50.1,1.8333,64.36,91,19,8.3,FR,2021-09-10 21:29:29
